status,RT
1,1.021
1,1.149
1,1.304
1,0.834
1,0.954
1,0.928
0,1.252
1,1.252
1,0.936
1,0.864
1,0.919
1,1.03
1,1.242
1,1.3
1,0.874
1,1.163
1,1.079
1,0.86
1,0.882
1,1.617
0,1.242
1,1.105
1,0.982
0,1.245
1,1.068
1,0.961
1,1.247
1,1.148
1,1.15
0,1.136
1,1.391
0,1.394
1,1.088
1,0.958
1,1.025
1,1.061
1,0.828
1,1.039
1,1.233
1,0.858
1,1.077
1,1.356
1,1.372
1,1.076
1,0.933
1,1.097
1,1.058
1,1.111
1,1.181
1,0.806
0,1.795
1,0.828
1,1.049
1,1.133
0,1.652
1,1.288
0,1.19
0,1.366
1,1.23
1,0.91
0,1.301
1,1.515
1,1.33
1,1.308
1,0.877
1,1.358
1,0.969
1,1.206
1,0.87
0,1.073
0,1.089
1,1.261
1,0.849
1,0.962
1,1.422
0,1.317
1,1.027
0,1.174
1,1.109
1,0.971
1,1.136
1,0.945
1,1.417
1,1.35
1,1.118
0,1.46
1,1.059
1,1.22
1,0.946
1,0.882
1,1.076
0,1.223
1,1.23
1,1.166
1,0.958
1,1.086
1,0.978
1,1.139
0,1.216
1,1.272
1,1.3
1,0.918
1,0.832
1,0.885
1,1.166
1,1.009
1,1.255
0,1.006
1,1.168
1,1.225
1,0.852
1,0.77
1,1.063
1,1.02
1,0.788
1,1.126
1,0.827
0,1.772
1,0.841
0,1.398
1,1.282
1,1.243
1,1.026
1,1.314
1,1.088
1,0.98
1,1.302
1,1.03
1,0.885
1,1.05
1,1.531
0,1.392
1,1.573
1,1.23
1,0.858
1,1.203
1,1.139
1,0.825
1,0.992
1,1.065
1,1.249
1,1.202
1,0.835
1,0.962
1,1.078
1,0.849
1,0.857
1,1.013
1,1.184
1,1.243
1,0.873
1,1.088
1,1.1
1,0.89
1,1.023
1,1.109
1,0.961
1,1.177
0,1.448
1,1.013
1,1.196
1,1.306
1,0.82
1,0.873
1,0.922
1,0.981
1,1.13
1,1.163
0,1.137
1,0.881
1,1.329
1,0.812
1,1.173
1,1.073
1,0.994
1,1.011
