status,RT
1,1.137
1,1.493
1,0.838
1,1.132
1,0.856
1,1.017
1,1.344
1,1.111
1,1.072
1,1.131
1,1.103
1,1.136
1,1.137
1,0.955
1,0.998
1,0.859
1,1.051
1,1.134
0,1.409
1,0.854
1,0.865
0,1.4
1,0.821
1,0.84
1,1.14
1,1.018
1,1.147
1,1.023
1,0.947
1,1.176
1,1.204
1,1.181
0,1.691
1,1.068
1,1.343
1,1.009
1,1.048
1,0.834
1,1.299
1,1.228
1,1.201
1,1.191
1,0.857
1,1.081
1,1.165
1,1.129
1,0.831
1,0.849
1,1.003
1,1.397
1,1.057
1,1.409
1,1.004
1,1.026
1,1.146
0,1.692
1,1.211
0,1.05
1,1.187
0,1.147
0,1.114
1,1.17
1,1.122
1,1.132
1,1.014
1,1.005
1,1.104
1,1.052
1,1.13
0,1.119
1,1.101
1,1.021
0,1.56
1,1.286
1,1.016
1,0.97
1,0.986
0,1.565
1,0.929
1,1.021
1,1.193
1,1.39
1,1.4
1,1.128
1,1.376
1,1.637
1,1.41
1,1.075
1,0.86
1,1.211
1,0.997
1,1.13
0,1.468
1,1.19
1,0.838
1,0.981
1,0.922
1,0.866
0,1.761
1,1.176
1,1.182
1,1.227
1,1.219
1,0.827
1,0.871
1,1.116
1,1.338
1,0.885
1,1.292
1,1.217
1,1.18
1,1.215
1,1.418
0,1.453
1,1.191
1,1.028
1,0.989
0,1.946
0,1.695
1,0.98
1,1.297
1,1.195
1,0.844
1,1.626
1,0.851
1,1.269
1,0.999
1,0.944
1,0.827
0,1.083
1,0.936
1,0.916
1,1.115
1,1.21
1,0.827
1,1.083
1,1.078
1,0.907
1,0.981
1,0.943
0,1.107
1,0.995
0,1.342
0,1.415
1,0.821
0,1.287
1,0.994
1,1.515
1,1.104
1,1.356
1,1.559
0,1.263
1,1.047
1,1.039
1,0.837
0,1.053
1,1.222
0,1.18
1,0.953
1,1.466
1,0.916
1,1.395
1,1.048
1,0.861
1,0.825
1,1.232
1,1.163
1,1.305
1,0.858
0,1.526
1,0.856
1,0.948
1,1.059
1,1.538
1,1.224
1,1.149
1,1.162
1,0.866
1,1.249
1,1.227
1,1.235
0,1.158
1,0.909
1,1.046
1,0.944
1,1.108
0,1.37
1,0.964
1,1.258
1,1.259
1,1.285
1,1.124
1,1.096
1,1.21
1,1.373
1,1.029
1,1.018
1,1.011
1,1.088
1,1.106
0,1.344
0,1.374
1,0.835
1,0.863
1,0.925
1,1.361
1,1.044
1,1.051
1,0.834
0,1.379
0,1.722
1,0.815
1,1.083
1,1.147
1,1.054
1,1.208
1,0.895
1,0.842
1,0.856
0,1.513
0,1.149
1,0.858
1,1.133
1,1.177
1,0.832
1,0.859
0,1.602
1,0.987
1,0.852
1,1.076
1,0.823
1,0.88
1,1.011
1,1.431
1,1.132
1,0.87
1,1.198
1,1.171
1,1.592
0,1.296
1,0.941
1,1.298
1,0.959
1,1.113
1,1.02
1,1.463
1,1.05
1,1.228
1,1.025
1,1.047
1,1.023
0,1.715
1,1.337
0,1.352
1,0.783
1,1.177
1,1.106
1,1.098
1,1.079
1,0.867
1,1.209
1,1.027
0,1.657
1,1.019
1,1.109
1,1.116
1,1.055
1,0.997
1,0.862
1,1.436
1,1.989
1,0.84
1,1.191
1,0.845
1,0.995
0,1.086
0,1.328
1,1.134
1,0.884
1,1.005
1,0.985
1,1.073
1,1.214
1,0.975
0,1.363
1,1.003
1,0.958
1,0.997
1,1.121
1,1.169
0,1.125
1,1.405
1,1.564
1,1.261
1,1.354
1,0.969
1,1.275
1,1.064
1,1.131
0,1.477
1,1.085
1,1.107
1,1.198
1,0.86
1,0.851
1,1.222
1,1.245
1,0.914
1,0.852
1,1.489
1,1.108
1,1.143
1,0.894
1,0.866
1,1.094
0,1.552
1,0.962
1,1.065
1,0.902
1,0.979
1,1.063
1,1.035
0,1.146
1,1.427
1,0.982
1,1.285
1,0.825
1,1.061
1,1.102
1,0.908
1,1.161
1,0.857
1,0.899
1,1.12
1,0.861
1,1.193
1,1.268
1,1.081
0,1.876
0,1.392
1,1.089
1,0.9
1,1.006
1,1.309
1,1.168
0,1.471
1,1.352
1,1.155
1,1.312
1,0.967
1,1.131
1,0.952
1,0.94
1,1.079
1,0.867
1,1.168
1,1.089
1,0.944
1,1.011
1,1.361
1,0.836
1,0.936
1,1.161
1,1.829
1,1.192
1,1.067
1,0.979
1,1.152
1,1.288
1,1.254
1,1.042
1,0.914
0,1.145
1,0.942
1,1.135
1,1.053
1,1.235
1,1.005
1,1.24
1,1.321
1,1.128
1,1.17
0,1.165
1,0.863
1,0.957
1,0.973
1,0.881
1,1.101
1,1.209
0,1.187
1,0.96
1,1.241
1,0.824
1,1.465
1,1.291
1,1.225
1,0.94
1,0.986
1,0.826
0,1.26
1,1.198
1,0.877
0,1.447
1,0.87
0,1.765
1,1.275
1,1.02
1,1.318
1,1.135
1,1.085
1,1.255
1,0.854
1,0.861
1,0.86
1,1.237
0,1.467
1,1.016
1,0.869
1,1.304
1,2.037
1,0.809
1,1.414
1,1.125
1,1.045
1,0.883
1,1.797
0,1.28
1,1.419
1,0.907
1,1.282
0,1.243
0,1.371
1,1.062
1,0.883
1,1.03
1,0.872
1,0.868
1,1.103
0,1.318
1,0.913
1,0.97
1,0.847
1,1.448
1,1.327
1,1.062
1,0.928
1,1.294
0,1.176
1,1.297
1,1.318
1,1.184
1,0.836
1,1.355
1,0.968
1,0.926
1,1.359
1,0.861
1,0.965
0,1.347
1,1.308
1,1.223
0,1.248
1,0.877
1,1.13
1,1.798
1,1.218
0,1.184
1,0.943
0,1.715
1,1.349
0,1.555
1,1.238
1,0.892
1,0.996
1,1.224
1,1.006
1,1.294
0,1.061
1,0.946
1,1.118
1,0.846
1,1.05
0,1.43
1,0.925
1,1.247
1,0.849
1,1.02
1,0.839
1,1.138
0,1.881
1,1.172
1,0.981
1,1.102
1,0.952
1,1.449
1,1.043
0,1.362
1,1.158
0,1.383
1,1.007
1,0.875
1,0.994
1,1.082
0,1.447
1,1.193
0,1.126
1,0.831
1,1.173
1,1.32
1,0.857
1,1.251
1,1.086
1,1.029
0,1.453
1,0.848
0,1.457
0,1.43
1,1.372
0,1.136
1,1.286
1,0.894
1,1.306
0,1.214
1,1.132
0,1.303
1,0.892
1,0.861
1,1.076
1,1.237
0,1.241
1,1.303
1,1.205
1,1.199
0,1.29
1,0.921
1,1.032
0,1.074
1,0.941
1,1.174
1,1.064
1,1.161
1,1.054
1,1.031
1,1.526
1,1.058
0,1.302
1,0.991
1,0.963
1,0.842
1,1.101
1,0.92
1,0.867
0,1.434
1,0.891
1,0.954
1,0.851
1,0.909
1,1.444
1,0.964
1,0.901
1,1.054
1,0.828
0,1.08
0,1.253
1,1.08
1,1.309
1,1.301
1,0.831
1,1.246
1,0.873
1,1.243
1,0.885
1,0.889
1,1.199
1,1.256
1,1.85
0,1.544
1,1.136
1,1.1
1,1.092
1,0.886
1,0.972
1,1.103
1,0.831
1,2.111
1,0.941
1,1.104
1,0.87
1,0.979
1,1.185
1,1.083
1,1.017
1,0.948
1,0.995
1,1.183
1,1.254
1,1.343
1,0.969
1,0.862
1,1.143
1,1.066
1,0.824
0,1.257
1,0.988
1,1.242
0,1.211
0,1.41
1,0.852
1,0.945
0,1.335
1,0.962
1,0.947
1,0.812
1,0.889
1,0.951
1,1.127
1,1.176
1,1.239
0,1.63
1,0.827
1,0.991
1,1.31
1,0.861
1,1.241
1,1.104
1,1.092
1,1.123
1,0.841
1,1.023
1,1.318
1,1.184
1,1.197
1,1.248
1,1.157
0,1.326
1,0.98
1,0.879
1,0.988
1,1.211
1,1.3
1,0.844
1,1.278
1,1.161
0,1.116
1,1.196
1,0.986
1,0.876
1,0.943
1,1.183
1,1.278
1,1.131
0,1.332
1,1.284
1,0.907
1,1.039
1,0.962
1,1.135
1,1.194
0,1.16
1,1.251
0,1.221
1,0.967
1,0.977
1,0.796
0,1.97
1,1.1
1,1.354
0,1.238
1,1.199
0,2.103
1,1.053
1,0.85
1,1.213
0,1.286
0,1.367
0,1.114
1,0.979
1,0.958
1,0.912
0,1.136
1,1.369
1,1.026
0,1.283
1,0.977
1,0.948
0,1.323
1,1.123
1,0.947
1,0.828
0,1.356
1,0.937
1,0.842
1,0.861
1,1.309
1,1.082
1,1.367
0,1.142
1,1.053
